RANK,COMPANY
340,Peter Kiewit Sons'
341,News Corp.
342,Brighthouse Financial
343,Voya Financial
344,Air Products & Chemicals
345,Hilton Worldwide Holdings
346,GameStop
347,Veritiv
348,Williams
349,Campbell Soup
350,Rockwell Collins
351,Thrivent Financial for Lutherans
352,Westlake Chemical
353,Univar
354,J.B. Hunt Transport Services
355,Frontier Communications
356,Jones Financial (Edward Jones)
357,National Oilwell Varco
358,Eversource Energy
359,Dick's Sporting Goods
360,Genworth Financial
361,Fidelity National Information Services
362,Yum China Holdings
363,Ryder System
364,Anixter International
365,Caesars Entertainment
366,Masco
367,Thor Industries
368,Alaska Air Group
369,Amphenol
370,WESCO International
371,Huntington Ingalls Industries
372,Jefferies Financial Group
373,Dana
374,Expeditors Intl. of Washington
375,EMCOR Group
376,Darden Restaurants
377,SpartanNash
378,Assurant
379,United Rentals
380,Liberty Media
381,Erie Insurance Group
382,Auto-Owners Insurance
383,Cheniere Energy
384,Fifth Third Bancorp
385,Foot Locker
386,Conagra Brands
387,Zimmer Biomet Holdings
388,Tractor Supply
389,Berry Global Group
390,Alliance Data Systems
391,Hershey
392,PPL
393,Dean Foods
394,Builders FirstSource
395,Oshkosh
396,EnLink Midstream
397,W.R. Berkley
398,WEC Energy Group
399,JetBlue Airways
400,UGI
401,A-Mark Precious Metals
402,Fidelity National Financial
403,Constellation Brands
404,Quest Diagnostics
405,Activision Blizzard
406,Weyerhaeuser
407,Raymond James Financial
408,Casey's General Stores
409,Keurig Dr Pepper
410,American Tower
411,Apache
412,Dover
413,KeyCorp
414,J.M. Smucker
415,Citizens Financial Group
416,Motorola Solutions
417,Magellan Health
418,American Axle & Manufacturing
419,Newmont Goldcorp
420,Spirit AeroSystems Holdings
421,Western & Southern Financial Group
422,Fortive
423,Graybar Electric
424,NVR
425,Avery Dennison
426,Celanese
427,American Financial Group
428,Toll Brothers
429,Sanmina
430,Insight Enterprises
431,Owens Corning
432,Packaging Corp. of America
433,TravelCenters of America
434,Olin
435,Arthur J. Gallagher
436,MasTec
437,Alleghany
438,Owens-Illinois
439,Asbury Automotive Group
440,CMS Energy
441,Markel
442,Blackstone Group
443,AK Steel Holding
444,Hanesbrands
445,R.R. Donnelley & Sons
446,Wayfair
447,Regions Financial
448,Wynn Resorts
449,Ulta Beauty
450,Regeneron Pharmaceuticals
451,Burlington Stores
452,Rockwell Automation
453,Northern Trust
454,Chemours
455,Seaboard
456,Marathon Oil
457,Ascena Retail Group
458,Dillard's
459,Cintas
460,Advanced Micro Devices
461,Hess
462,M&T Bank Corp.
463,ABM Industries
464,Beacon Roofing Supply
465,NCR
466,iHeartMedia
467,Franklin Resources
468,Ameren
469,Intercontinental Exchange
470,S&P Global
471,Post Holdings
472,Analog Devices
473,Ralph Lauren
474,Harris
475,Booz Allen Hamilton
476,Polaris Industries
477,Clorox
478,Realogy Holdings
479,HD Supply Holdings
480,Graphic Packaging Holding
481,Old Republic International
482,Intuit
483,NetApp
484,Tapestry
485,ON Semiconductor
486,Ingredion
487,Zoetis
488,Fiserv
489,TreeHouse Foods
490,Robert Half International
491,First American Financial
492,Harley-Davidson
493,Windstream Holdings
494,Yum Brands
495,Williams-Sonoma
496,Simon Property Group
497,Navient
498,Western Union
499,Peabody Energy
500,Levi Strauss
